smiles,qed,sa,molwt,clogp
CCC(=O)C1=C(O)OC(Cc2ccccc2)(Cc2ccccc2)CC1,0.8263415336021276,3.75,336.4310000000001,4.769700000000004
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)NCc1cccs1,0.5801408283542074,4.0,418.5590000000002,3.641400000000002
[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.6075240034510159,4.050000000000001,441.616,2.58129
O=c1c2c(oc(O)c1C(C1CC1)C1CC1)C(Cc1ccccc1)CCCCCC2,0.6704949017515931,4.05,392.5390000000002,6.081900000000005
CC(C)(C)NC(=O)[C@@H]1CN(C(=O)Oc2ccccc2)CCN1C[C@@H](O)[CH]Cc1ccccc1,0.6751843437000267,4.15,452.5750000000002,2.894190000000001
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(C)(F)F,0.5800353312511182,4.1,446.49400000000014,3.8892000000000015
C=CS(=O)(=O)Nc1cccc(C(c2c(O)oc3c(c2=O)CCCCCC3)C2CC2)c1,0.7079749627344657,4.3,429.5380000000004,4.431500000000004
O=C1[C@H](Cc2ccccc2)C(O)=C(O)N(Cc2ccccc2)[C@H]1Cc1ccccc1,0.623473741208173,4.0,399.4900000000001,4.826600000000004
CC1CN(C(Cc2ccccc2)C(=O)NCC2N=Cc3cncnc32)C1=O,0.780300294614979,4.3,363.4210000000001,1.156
CC(C)NC(=O)[C@@H]1CSCN1C(=O)C(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,0.5845318910770906,4.2,451.5890000000002,1.9094
C=CC=C1COC(=O)NC(C)C(=O)NC(Cc2ccccc2)[C@@H](O)C[C@@H](CCC)C=C1C(N)=O,0.5085512189628486,4.1,469.58200000000033,2.5336
C[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.5615038849890159,4.050000000000001,456.65100000000007,3.0943900000000006
CCCC(C(=O)NCC(C)(C)C)[C@@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.525278157782933,3.9,451.6960000000003,3.721300000000002
CCCN1C(=O)N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,0.5296820509666954,4.1,458.6020000000002,4.278600000000004
CC(C)(C)c1ccccc1Sc1c(O)cc(-c2cccc(Cl)c2)oc1=O,0.5891194712704739,3.95,386.9,6.114500000000005
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(C)(=O)=O,0.5306906784437289,4.45,470.5880000000003,1.3638000000000008
CN[C@H](Cc1ccc2c(c1)CCO2)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.6038968799898703,4.050000000000001,426.5570000000002,3.2489000000000017
Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C,0.6396785899944047,4.15,442.5810000000002,3.1026200000000017
[CH][C@H](Cc1ccccc1)OC(=O)C(NC(=O)N(C)Cc1csc(C2CC2)n1)C(C)C,0.6129992800076646,4.15,427.5700000000001,4.052090000000003
CN1C(=O)N(Cc2ccncc2)[C@H](CCc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1O,0.50268256177707,4.3,461.5620000000001,2.989100000000001
CC(C)c1ccccc1Sc1c(O)cc(-c2ccccc2)oc1=O,0.7023003277419337,3.85,338.42800000000005,5.287000000000004
CC(=CSC1C=CC=C1)COc1ccc(O)cc1,0.8702434160889834,3.6,260.358,3.9026000000000014
CC=CC1=C(C(C)(C)C)C=CC(c2ccc(O)cc2)CC2(C)CC(=O)C(=C(O)O2)S1,0.5633619349062203,4.1,426.5780000000002,6.520400000000006
[CH]C[C@H](Cc1ccccc1)NC(=O)C(C)NC(=O)N(Cc1csc(C(C)C)n1)CC(C)C,0.5167665897870499,4.0,456.6560000000002,4.651290000000004
[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@@H]2C[C@H]1C(=O)NC(C)(C)C,0.6075240034510159,4.050000000000001,441.616,2.58129
C[CH][C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(NC(=O)N(C)Cc1ccccn1)C(C)C,0.501724662502258,4.0,439.58000000000015,2.9502900000000007
CC(C)C1=C(O)C=COC(=O)Cc2c(NS(=O)(=O)c3ccc(F)cc3)cccc21,0.7288471444489708,4.25,417.45800000000014,4.164600000000003
CCCc1cc(=O)c(C(c2ccc(OCCN3CCCCC3)cc2)C2CC2C2CC2)c(O)o1,0.5282170612547841,4.25,451.6070000000004,5.340600000000006
CC(C)C(NC(=O)c1ccc2ccccc2n1)C(=O)NC(Cc1ccccc1)C(=O)CF,0.5401042961397228,4.15,435.49900000000014,3.255300000000002
[CH][C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(C)NC(=O)N(C)Cc1csc(C(C)C)n1,0.5250743695136958,4.1,444.60100000000017,2.985990000000001
